% defaults limit 1000 minin 35 minex 25 flank 99 pop 100 gen 100 die 0.5 mut 0.1
% gid,fitness,wacc,wdon,wexs,wins,wexl,winl,winf
2_316,0.1678,0.9194,0.9975,0.9918,0.9954,0.7451,0.0018,0.9959
2_256,1.0169,0.2531,0.0101,0.9920,0.0001,0.0090,0.1757,0.9996
1_204,0.0870,0.6274,0.9201,0.8301,0.9923,0.0031,0.0074,0.9999
1_270,0.2790,0.8145,0.8543,0.0876,0.9980,0.0003,0.0086,0.9984
1_228,0.0952,0.9955,0.9964,0.7423,0.9946,0.0000,0.1618,0.9990
1_480,0.0582,0.0087,0.0086,0.7585,0.9979,0.3063,0.0022,0.9987
1_241,0.2566,0.9990,0.9900,0.9998,0.9984,0.0002,0.0007,0.9980
2_171,0.5591,0.8251,0.0033,0.5879,0.8751,0.9933,0.0055,0.9993
1_159,0.1353,0.9922,0.9979,0.9986,0.0024,0.6670,0.8162,0.9971
3_65,0.4778,0.0001,0.3195,0.9987,0.0832,0.0014,0.0007,0.9920
1_498,1.9999,0.7354,0.9062,0.8807,0.4727,0.7565,0.6723,0.3351
1_410,0.4423,0.5574,0.9897,0.7176,0.9998,0.0014,0.0005,0.9975
2_298,0.3388,0.5804,0.6635,0.5279,0.9955,0.0626,0.0035,0.9968
1_25,0.0027,0.6556,0.9431,0.9952,0.0841,0.0144,0.7030,0.9975
1_428,0.1137,0.7269,0.8520,0.4148,0.9933,0.0132,0.0123,0.9987
2_180,0.3997,0.4199,0.9934,0.1612,0.9950,0.9961,0.0008,0.9965
1_554,2.0000,0.9497,0.4818,0.4951,0.0841,0.7887,0.0515,0.5578
1_116,0.1763,0.2947,0.9913,0.9962,0.9562,0.0012,0.0388,0.9989
1_85,0.0313,0.9996,0.6420,0.8844,0.9947,0.9959,0.0378,0.9960
1_350,1.1588,0.9929,0.9034,0.9994,0.1618,0.0261,0.0971,0.9960
2_227,0.1379,0.5412,0.9982,0.9936,0.9825,0.0001,0.0022,0.9831
3_55,0.0765,0.9971,0.9893,0.9994,0.9959,0.9859,0.5503,0.9968
1_71,0.0059,0.9341,0.9959,0.9979,0.0093,0.0050,0.5207,0.9932
2_70,0.8518,0.9927,0.9252,0.0035,0.3144,0.0007,0.7105,0.9981
1_65,0.0253,0.9988,0.9974,0.9921,0.9915,0.0042,0.2914,0.9996
1_347,0.4180,0.3517,0.9976,0.9957,0.9945,0.0009,0.0119,0.9871
1_330,0.6561,0.5544,0.9994,0.0030,0.8734,0.0002,0.0047,0.9988
1_156,0.1421,0.9930,0.9997,0.9997,0.8602,0.0026,0.2249,0.9934
1_186,0.6252,0.9911,0.9997,0.9724,0.9238,0.0003,0.0020,0.9961
3_81,0.7379,0.7660,0.6741,0.9997,0.4606,0.9855,0.9948,0.9989
3_7,0.3465,0.9994,0.9893,0.2438,0.6906,0.9881,0.0023,0.3809
2_127,0.6188,0.2194,0.0116,0.9962,0.7717,0.1119,0.0015,0.9986
1_433,1.5793,0.3980,0.5436,0.6578,0.5384,0.0112,0.0016,0.9989
1_227,0.3526,0.5162,0.8282,0.9955,0.6904,0.0057,0.0038,0.9915
2_172,0.1547,0.9998,0.9983,0.0027,0.9999,0.0178,0.2111,0.9933
1_364,0.3086,0.5217,0.7246,0.9948,0.8638,0.2128,0.0020,0.9942
1_379,0.4136,0.9976,0.0001,0.9950,0.9873,0.0052,0.0031,0.9973
1_162,0.0833,0.9959,0.4301,0.9977,0.2701,0.0024,0.0019,0.9985
2_331,0.4213,0.5933,0.0069,0.9978,0.9413,0.0096,0.0059,0.9970
1_86,0.1427,0.9981,0.9970,0.8218,0.9988,0.9938,0.9986,0.9839
1_280,0.1575,0.9880,0.9996,0.9961,0.4802,0.9950,0.3493,0.9971
1_283,0.0224,0.0040,0.0011,0.9930,0.0217,0.0076,0.0109,0.9956
2_128,1.2415,0.9687,0.9981,0.3470,0.0649,0.0390,0.6002,0.9878
1_467,0.5276,0.4663,0.3095,0.5481,0.9980,0.9999,0.0030,0.9993
1_377,0.5690,0.4052,0.5948,0.9963,0.7330,0.0074,0.0038,0.9999
2_43,0.3259,0.3996,0.7797,0.9997,0.7646,0.0050,0.0104,0.9977
1_147,0.5966,0.6099,0.9998,0.9868,0.9968,0.2704,0.9931,0.9971
2_204,0.2761,0.9993,0.9958,0.9043,0.9996,0.9891,0.6016,0.9926
2_219,0.9916,0.4582,0.1982,0.9601,0.4516,0.8820,0.0012,0.9947
1_237,0.2984,0.9589,0.9941,0.9957,0.9971,0.9707,0.0063,0.9810
1_331,0.4162,0.9421,0.3702,1.0000,0.6098,0.0034,0.0003,0.9943
3_49,0.6827,0.5277,0.9998,0.7664,0.0534,0.0127,0.1908,0.9676
1_447,0.4954,0.8102,0.0949,0.9995,0.7557,0.0110,0.0004,0.9980
1_413,0.5051,0.0605,0.7514,0.9961,0.9944,0.0113,0.0022,0.9997
2_140,0.6856,0.9914,0.9992,0.9973,0.9714,0.9996,0.9785,0.9923
1_62,0.0594,1.0000,0.9997,0.9948,0.9989,0.9947,0.9954,0.9838
1_440,0.1143,0.9988,0.9983,0.9984,0.9989,0.9789,0.0031,0.9977
1_37,0.0336,0.5637,0.2962,0.9966,0.4497,0.0030,0.0426,0.9942
1_381,1.4459,0.9995,0.8364,0.0025,0.9923,1.0000,0.6744,0.9985
2_46,0.6670,0.8548,0.9967,0.0011,0.3742,0.0004,0.4061,0.9987
1_262,0.7183,0.7211,0.9931,0.9908,0.9977,0.0007,0.0426,0.9991
3_78,0.3281,0.9926,0.9974,0.9877,0.1385,0.0127,0.6055,0.9858
