name	gene	loc	str	base	opt	introns	don	acc	emm	imm	elen	ilen	icost
ch.4206	Gene:WBGene00044665	II:5011422-5012177	-	0.742664888916569	0.2058	6	0.9942	0.8353	0.0132	0.0159	0.9932	0.9992	0.0091
ch.8128	Gene:WBGene00016249	III:8449656-8450618	+	1.2115658484317386	0.1389	15	0.9989	0.9978	0.9955	0.0018	0.9845	0.9921	0.0055
ch.6996	Gene:WBGene00010812	III:3510136-3511073	+	1.2290728620745932	0.0002	7	0.0496	0.9985	0.8260	0.2318	0.2097	0.0276	0.4906
ch.15142	Gene:WBGene00011428	V:11064853-11065712	-	0.7278554125365482	0.0629	7	0.9969	0.9998	0.9993	0.9992	0.9924	0.9990	0.0003
ch.15756	Gene:WBGene00009995	V:13611236-13611981	-	0.7095863441097567	0.1001	14	0.9765	0.9956	0.9997	0.0046	0.9834	0.9953	0.0121
ch.2077	Gene:WBGene00016621	I:10624363-10625486	+	1.8866784021826055	0.8013	13	0.7125	0.0095	0.0015	0.7081	0.9988	0.9973	0.9490
ch.19013	Gene:WBGene00001463	X:9349175-9349993	-	0.6693588833095878	0.0595	7	0.9990	0.9966	0.9861	0.9982	0.0139	0.0110	0.9755
ch.18875	Gene:WBGene00023477	X:8534571-8535205	-	1.3336529459515742	0.0000	1	0.0889	0.0370	0.1351	0.7286	0.3176	0.1076	0.9976
ch.15331	Gene:WBGene00008408	V:11824932-11825861	-	0.6916409458773569	0.2267	8	0.9999	0.9989	0.0018	0.9488	0.9958	0.9998	0.6911
ch.13397	Gene:WBGene00003767	V:3984324-3984946	+	0.022844675852519345	0.0049	18	0.9945	0.8743	0.9957	0.9938	0.0162	0.0003	0.0045
ch.1074	Gene:WBGene00016752	I:6234607-6235490	+	1.4123255631915073	0.3080	9	0.9995	0.5559	0.9994	0.9997	0.0020	0.3996	0.9915
ch.15173	Gene:WBGene00012152	V:11183124-11183742	+	1.3336121671315975	0.0001	4	0.0153	0.7337	0.0363	0.0504	0.7010	0.4235	0.4472
ch.2330	Gene:WBGene00011155	I:11909265-11910090	-	1.2208711252889628	0.5556	15	0.9959	0.1666	0.8309	0.8607	0.9962	0.9930	0.1169
ch.7597	Gene:WBGene00018342	III:6176056-6176960	-	0.3646419378143607	0.2166	5	0.9878	0.9967	0.0011	0.9894	0.0039	0.9993	0.0045
ch.12964	Gene:WBGene00017498	V:2326577-2327381	+	1.1796569814291678	0.4866	13	0.1721	0.3157	0.3055	0.9970	0.0055	0.0039	0.9921
ch.4444	Gene:WBGene00022885	II:5838562-5839513	-	0.8945900028793732	0.0603	5	0.9541	0.5261	0.9970	0.1382	0.0045	0.4244	0.9996
ch.2036	Gene:WBGene00013726	I:10474721-10475707	+	0.603485101842735	0.2031	11	0.6267	0.9976	0.9871	0.9436	0.9810	0.9895	0.0079
ch.267	Gene:WBGene00021348	I:2064875-2065580	+	1.2410056127854385	0.0248	6	0.9981	0.9967	0.0120	0.9955	0.9997	0.0033	0.4109
ch.7979	Gene:WBGene00016209	III:7941050-7941713	+	1.937551136081455	0.0000	3	0.4536	0.9323	0.6757	0.9527	0.6387	0.2264	0.0343
ch.1866	Gene:WBGene00004437	I:9669314-9670197	+	0.6774996461427931	0.0813	9	0.0019	0.9984	0.8765	0.0020	0.0095	0.9952	0.9892
ch.779	Gene:WBGene00044431	I:4957674-4958408	-	0.6704869683407247	0.0902	10	0.9991	0.0062	0.9921	0.0524	0.9980	0.9843	0.9965
ch.15448	Gene:WBGene00011017	V:12317177-12318118	-	0.7173238588537653	0.2126	15	0.9972	0.9995	0.2161	0.9967	0.0068	0.2889	0.9998
ch.11535	Gene:WBGene00044253	IV:11827437-11828211	-	1.326258278753118	0.9413	3	0.4579	0.9989	0.0143	0.9942	0.9995	0.9929	0.0221
ch.16119	Gene:WBGene00004485	V:14999917-15000640	-	1.3213134530195088	0.0095	33	0.9965	0.9953	0.1468	0.9955	0.0001	0.9993	0.9339
ch.4927	Gene:WBGene00014067	II:7911214-7912218	+	0.7025242773698592	0.6868	9	0.9991	0.4985	0.9966	0.9975	0.0069	0.0049	0.9951
ch.12308	Gene:WBGene00013109	IV:16656512-16657458	+	1.3327732033948867	0.0003	7	0.9602	0.5867	0.8854	0.9755	0.2126	0.9228	0.0012
ch.13394	Gene:WBGene00015046	V:3978724-3979233	-	0.02232074799367798	0.0104	3	0.9989	0.9483	0.9967	0.0021	0.0029	0.9973	0.9207
ch.6870	Gene:WBGene00022194	III:2618862-2619474	+	0.6103017707959637	0.0014	4	0.9988	0.9064	0.9987	0.9975	0.9998	0.0011	0.3631
ch.15960	Gene:WBGene00009809	V:14331632-14332766	+	0.7117681725328268	0.6672	11	0.9999	0.9746	0.0089	0.9930	0.0109	0.9989	0.9689
ch.14293	Gene:WBGene00004499	V:7776477-7777324	+	0.8553862079805852	0.0967	50	0.9989	0.9972	0.9989	0.9980	0.9923	0.0038	0.9835
ch.10958	Gene:WBGene00007881	IV:9518266-9519025	-	1.7907976125715224	0.0000	2	0.8200	0.5607	0.8515	0.8928	0.3570	0.2069	0.2322
ch.10992	Gene:WBGene00014240	IV:9682883-9683632	-	1.3279390594312206	0.0005	3	0.0163	0.7484	0.6307	0.9997	0.0504	0.0306	0.7511
ch.19851	Gene:WBGene00009090	X:14423304-14423982	+	1.3329585760863631	0.0001	3	0.5963	0.9967	0.9941	0.9999	0.0016	0.9964	0.8002
ch.3816	Gene:WBGene00015842	II:3443387-3444479	-	0.9331710676344329	0.3326	6	0.9979	0.9962	0.1265	0.9942	0.0115	0.9941	0.0154
ch.11629	Gene:WBGene00004448	IV:12268894-12269589	+	1.967174383345759	0.0015	14	0.9984	0.9984	0.9948	0.9927	0.0051	0.9935	0.9972
ch.7139	Gene:WBGene00011205	III:4301519-4302492	-	1.157722845976484	0.5835	8	0.1777	0.9855	0.8118	0.9952	0.0015	0.0149	0.9949
ch.9356	Gene:WBGene00002180	IV:1420828-1421889	+	0.7013878259657285	0.0170	11	0.9856	0.6543	0.9633	0.0931	0.0452	0.9852	0.7244
ch.12775	Gene:WBGene00017506	V:1593918-1594772	+	1.6101853459658297	0.0136	38	0.9988	0.9901	0.9992	0.9906	0.9625	0.0016	0.9897
ch.4277	Gene:WBGene00022782	II:5292601-5293405	+	0.9263089373724298	0.1311	5	0.9993	0.9974	0.0046	0.9911	0.0104	0.9958	0.0064
ch.14637	Gene:WBGene00017660	V:9123385-9123951	+	1.007449961682098	0.0009	3	0.9770	0.0100	0.0324	0.9909	0.9688	0.0275	0.9653
ch.9299	Gene:WBGene00021920	IV:1056791-1057718	+	0.8206667063068666	0.0595	4	0.9960	0.9971	0.0031	0.9957	0.9997	0.9977	0.0048
ch.18744	Gene:WBGene00004999	X:7725878-7726482	+	0.820676929115447	0.0173	10	0.9971	0.9856	0.9916	0.9946	0.9929	0.0051	0.0721
ch.10720	Gene:WBGene00016178	IV:8499209-8500175	+	1.367000141913883	0.0001	8	0.9785	0.2596	0.6887	0.4580	0.7229	0.0452	0.4513
ch.9833	Gene:WBGene00044479	IV:4292768-4293710	+	1.9999803404831733	0.0000	1	0.5398	0.5359	0.5299	0.9120	0.2257	0.1606	0.6906
ch.18450	Gene:WBGene00016659	X:6084638-6085288	+	1.2541773960339726	0.0901	7	0.9977	0.9950	0.9993	0.9975	0.0082	0.0062	0.0432
ch.8278	Gene:WBGene00013984	III:9145239-9146058	+	1.9973239352126302	0.1677	5	0.9989	0.9983	0.7242	0.9984	0.9955	0.0069	0.8478
ch.3817	Gene:WBGene00015843	II:3444568-3445484	-	0.8925152226088873	0.2765	8	0.9992	0.9997	0.9962	0.0297	0.0004	0.9953	0.0115
ch.540	Gene:WBGene00016322	I:3783806-3784325	+	0.045138839220602855	0.0229	4	0.9986	0.9994	0.0008	0.9967	0.0075	0.9993	0.5322
ch.17406	Gene:WBGene00002118	V:20375435-20376401	+	1.9946735574745944	0.1122	8	0.9987	0.9969	0.0013	0.9911	0.9937	0.0051	0.9925
ch.10806	Gene:WBGene00011708	IV:8855195-8856162	-	0.6966778790967655	0.0390	4	0.9992	0.0059	0.7760	0.0168	0.0034	0.2167	0.9941
